source_file,category,title_in_contents,in_index_116,role,include_in_master,decision,bytes_source_archive,caracteres_decodificados,palavras_aprox,sha256_fonte,mojibake_patterns,controles_C1,tem_replacement_character,tem_marca_edicao_moderna
contos/macn001.txt,contos,Contos Fluminenses (1870); Miss Dollar; Luís Soares; A mulher de preto; O segredo de Augusta; Confissões de uma viúva moça; Linha reta e linha curva; Frei Sim,True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC,325777,325777,56616,e862066d4019dcf63c20ada04b88149fe7b464a07c8d1198ffed08e63acd3fa1,0,0,False,True
contos/macn002.txt,contos,Histórias da meia-noite (1873); A parasita azul; As bodas de Luís Duarte; Ernesto de Tal; Aurora sem dia; O relógio de ouro; Ponto de vista,True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC,263696,263696,41846,15708824822904acc5a926d52a47ab673872d27bdda9769b6d5b4300385e2bde,0,0,False,True
contos/macn003.txt,contos,Papéis avulsos (1882); O alienista; Teoria do medalhão; A chinela turca; Na arca; D. Benedita; O segredo do bonzo; O anel de Polícrates; O empréstimo; A sereníssima república; O espelho; Uma visita de Alcibíades; Verba testamentária,True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC,319473,319473,54781,59a472130762735093e4dce1f919d66de1d35bbc5277725a10e6faf81b48c5b9,0,0,False,True
contos/macn004.txt,contos,Histórias sem data (1884); A igreja do Diabo; O lapso; Último capítulo; Cantiga de esponsais; Singular ocorrência; Galeria póstuma; Capítulo dos chapéus; Conto alexandrino; Rimas de Sapucaia!; Uma senhora; Anedota pecuniária; Fulano; A segunda vida; Noite de almirante; Manuscrito de um sacristão; Ex cathedra; A senhora do Galvão; As academias de Sião,True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC,294593,294593,50557,12f003e983b96737b44d56427fbb47bc6b2c2e109168359cbacea59325ef2975,0,0,False,True
contos/macn005.txt,contos,Várias histórias (1896); A cartomante; Entre santos; Uns braços; Um homem célebre; A desejada das gentes; A causa secreta; Trio em lá menor; Adão e Eva; O enfermeiro; O diplomático; Mariana; Conto de escola; Um apólogo; D. Paula; Viver!; O cônego ou Metafísica do estilo,True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC,253555,253555,44124,0970b95f25ad3f34af4a2fa9bcf053fffd2db93be921f99eeb5c72ac45942a7f,0,0,False,True
contos/macn006.txt,contos,Páginas recolhidas (1899); O caso da vara; O dicionário; Um erradio; Eterno!; Missa do galo; Idéias de canário; Lágrimas de Xerxes; Papéis velhos,True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC,130664,130664,22634,cbec0e52ebcb9fd4827cdf5a42169eaf819a26bb3e77efdf4e96fc4bef4e99b5,0,0,False,True
contos/macn007.txt,contos,Relíquias de Casa Velha (1906); Pai contra mãe; Maria Cora; Marcha fúnebre; Um capitão de voluntários; Suje-se gordo!; Umas férias; Evolução; Pílades e Orestes; Anedota do cabriolet,True,item_indexado,True,item autoral indexado pelo pacote NLTK/MEC,169880,169880,29761,4e4ec80eaf240c581c51316a7826ded7365bf8074c908f9b204b9d4006eb7c15,0,0,False,True
contos/macn008.txt,contos,"Conto, Três Tesouros Perdidos, 1858",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,3936,3936,714,c19efbcb8d6714eb6ab20dcfd421b5ce7f526184be1139652107c4bb08328e65,0,0,False,False
contos/macn009.txt,contos,"Conto, O País das quimeras, 1862",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,30032,30032,5210,e3067a967bc3d90e05d2602906089964b0d8815d90628761d672c65c6464216a,0,0,False,False
contos/macn010.txt,contos,"Conto, Virginius, 1864",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,28904,28904,4956,0e8aa4f93f1521b076c8c2ab66c51acf13380de68b5cf01f5d51f9ee0ef994b2,0,0,False,True
contos/macn011.txt,contos,"CONTO, Casada e viúva, 1864",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,28616,28616,4852,a80dba187288fbb427e89da2992778b2f039d918b375d26492b06158ae858af1,0,0,False,True
contos/macn012.txt,contos,"Conto, O anjo das donzelas, 1864",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,35373,35373,6183,1231abc0f276ed680a1d9ef3d556ef2bebb9b9bd50b20dd919789fdd516fdca7,0,0,False,False
contos/macn013.txt,contos,"Conto, Questão de Vaidade, 1864",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,87828,87828,15221,3c27fa9f719a3510d55b53db147c6bba020e243a6f31732977faebb06efbe19e,0,0,False,False
contos/macn014.txt,contos,"Conto, Cinco mulheres, 1865",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,32544,32544,5736,a1c6602c4d0cec501888e3897ff8401e3b3c7cc229a01a00dbd9ddf52f2ec350,0,0,False,False
contos/macn015.txt,contos,"Conto, Uma excursão milagrosa, 1866",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,33900,33900,5899,450455fa0ebd336f7c1d089c6907a3c0cd5fef1e64847626bfabb16d3636b729,0,0,False,True
contos/macn016.txt,contos,"Conto, Diana, 1866",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,21656,21656,3797,a5b008da1d15373a0b8231337daa155a89f535cffb4ce7e6e22ff11c1284bcbc,0,0,False,False
contos/macn017.txt,contos,"Conto, Felicidade pelo casamento, 1866",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,46387,46387,8213,897d3a956a466cf7adbf629cab4a218169c72513ebfc87dce61c1473a43aebd2,0,0,False,False
contos/macn018.txt,contos,"Conto, Fernando e Fernanda, 1866",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,34189,34189,5733,9a39cbc04ca062395b021a46ced4a0ea2ea6496802a171ed6241975244c496d4,0,0,False,False
contos/macn019.txt,contos,"Conto, O oráculo, 1866",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,12201,12201,2123,86cff9c44a7e1916e04c04983fe871fa45ddfcb8301fca013d5856cad4769d1d,0,0,False,False
contos/macn020.txt,contos,"Conto, O pai, 1866",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,56031,56031,9773,bc75da415e76f890b8ed5a3598cc3f67479fea709a5c0d0b9234d76989c34277,0,0,False,False
contos/macn021.txt,contos,"Conto, A pianista, 1866",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,50411,50411,8643,a75cf0657d33f0c7004cb149e2dcae74af30d51b165529af36600de5eedf6c6c,0,0,False,False
contos/macn022.txt,contos,"Conto, O que são as moças, 1866",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,32478,32478,5747,f3219e4f1fb2ceae72f7db8f334776e3da57b0e3f95d791fc6cfa6110353edb7,0,0,False,False
contos/macn023.txt,contos,"Conto, Francisca, 1867",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,29098,29098,4983,0dcffaf9553b2626b233f028fe28c791c1fa98916a4105c91b7faa479c7371ee,0,0,False,False
contos/macn024.txt,contos,"Conto, História de uma lágrima, 1867",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,24062,24062,4213,1379eafa2efbe73cbafd28f7102ae202bd160e6c012a0b4d7bbb4a9e6c84ff19,0,0,False,False
contos/macn025.txt,contos,"Conto, Onda, 1867",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,32817,32817,5681,4563fef9f085bf494e7f875a5b7e76bf00209e856cad10a85ee481bda42d1a49,0,0,False,False
contos/macn026.txt,contos,"Conto, Possível e impossível, 1867",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,39127,39127,6752,6d40067639c18a6080d3230657f2c6aec4ec606cc6169a680535e1e911e3b040,0,0,False,False
contos/macn027.txt,contos,"Conto, O último dia de um poeta, 1867",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,48343,48343,8635,6da13ba73f7fd47de4a5c845263d8cc244e2493cdae0224f55bdc76e7d4dab6d,0,0,False,False
contos/macn028.txt,contos,"Conto, O carro n° 13, 1868",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,27113,27113,4753,c736c69253f8dd8d7d3b8fd21e91471fe94ccf7bd5f51e2e89adc5c72a14bf2d,0,0,False,False
contos/macn029.txt,contos,"Conto, Não é mel para boca de asno, 1868",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,35315,35315,6111,97200ba9add003de2df189e0d6279df1f781d2e971779071f3cbef7f9513a3e5,0,0,False,False
contos/macn030.txt,contos,"Conto, O anjo Rafael, 1869",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,72476,72476,12787,dec22145362fe95b507f8f9b7935ad7a28fb63bb5389dbbbda104daf4c0d0178,0,0,False,False
contos/macn031.txt,contos,"Conto, O capitão Mendonça, 1870",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,45510,45510,7959,72f2cd7c3a249892d19858d30b81292ce38fefae0d4d7392e197940a7f9bce60,0,0,False,False
contos/macn032.txt,contos,"Conto, O rei dos caiporas, 1870",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,28807,28807,5122,cddb9c1738f138c97c8b8ab095a0ecb7d82027ed15a555bfde3792bd91c1ddd2,0,0,False,False
contos/macn033.txt,contos,"Conto, A vida eterna, 1870",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,28199,28199,4940,4076915569faf520aa490232031db1716ec82bf61545919d467bbf2de090636d,0,0,False,False
contos/macn034.txt,contos,"CONTO, Almas Agradecidas, 1871.htm",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,39898,39898,6798,27e7f86360dbc374d86e7c67780698cb16dfa70438f0c87670cac166cf73b07e,0,0,False,False
contos/macn035.txt,contos,"Conto, Ayres e Vergueiro, 1871",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,19334,19334,3291,dedac0a70085c782bccf2d32969a804d31732c913875095fcbe8924466d0ff78,0,0,False,False
contos/macn036.txt,contos,"Conto, O Caminho de Damasco, 1871",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,66324,66324,11649,a5934b5b4ec30f29d5833e5106ae1e26b22bb4bf14dcc4075b4f0994985d1d1c,0,0,False,False
contos/macn037.txt,contos,"Conto, Mariana, 1871",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,33625,33625,5761,80dccec3736eeaead44fc249d2db741e24e1f65cb787a0d0efd5bf40dfe16eb6,0,0,False,True
contos/macn038.txt,contos,"Conto, Uma Águia sem Asas, 1872",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,26001,26001,4453,d85487822c3390706acea10ed2be213f75f6ecc2899b7687e51c5ac274ecc2bf,0,0,False,False
contos/macn039.txt,contos,"Conto, Uma loureira, 1872",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,37672,37672,6559,6d0ab644a1fbea8f2264e4e51390c7e9eac7dc90206c3155908ebda8e2c74be3,0,0,False,False
contos/macn040.txt,contos,"Conto, Qual dos Dois,1872",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,93385,93385,16132,e3b1575bd9b8877fee1facc7dd12b2ac087d5da2b11cb61753e606ec629f62f1,0,0,False,False
contos/macn041.txt,contos,"Conto, Quem Não Quer Ser Lobo, 1872",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,43811,43811,7800,a9ecf6616c485ae1cd048971253ed621e2fdf13e2eac1ef7adcdb0cda704c223,0,0,False,False
contos/macn042.txt,contos,"Conto, Rui de Leão, 1872",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,51552,51552,9021,1403282196465b250ac411cadcc4eb72d7e92d2e1c58b01874ae98972af53bca,0,0,False,False
contos/macn043.txt,contos,"Conto, Decadência de dois grandes homens, 1873",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,26125,26125,4589,9f57417b8f2e00875c74b865e958d21b9a1d8f460a5df1251158a107694474f3,0,0,False,False
contos/macn044.txt,contos,"Conto, Um Homem superior, 1873",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,27439,27439,4688,c9e170a94f0d527912afaed77587e591b158812435a665eed2fa38e0d7420324,0,0,False,False
contos/macn045.txt,contos,"Conto, Nem uma nem outra, 1873",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,76312,76312,13318,d33841babb10c7c6b1cc273ed53528b08ba812067aa916841130abdb0d967d1f,0,0,False,False
contos/macn046.txt,contos,"Conto, Quem conta um conto, 1873",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,26002,26002,4628,9f96300071ccaf9fddf13097d01c06134867d03cfa942dc21e021b745bbbcdd5,0,0,False,False
contos/macn047.txt,contos,"Conto, Tempo de crise, 1873",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,21581,21581,3820,54727c4617b745ae6beec217cb1a3d628090928d4c7f2ec52fdd78e88c35f826,0,0,False,True
contos/macn048.txt,contos,"Conto, Miloca, 1874",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,43225,43225,7415,9798976facd91716dcfa4d3baeedfa4eea140f2e8bdb766315d1ebe01ca910cb,0,0,False,True
contos/macn049.txt,contos,"Conto, Um dia de entrudo, 1874",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,34947,34947,6109,bc8ea912a2d12a19d45216f4917d8dfca900756974cc66f9c1d69b95f786206f,0,0,False,False
contos/macn050.txt,contos,"Conto, Muitos Anos Depois, 1874",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,38053,38053,6576,366b73b89ac46accbfb812cd43d05faa22142cbe36a920c83ebf676ef3ad76e2,0,0,False,False
contos/macn051.txt,contos,"Conto, Os óculos de Pedro Antão, 1874",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,34498,34498,6193,f59dc4bbdf2040e207a092a1389f16d789dce1d602c1eab40374f6d77657f8b9,0,0,False,False
contos/macn052.txt,contos,"Conto, Valério, 1874",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,48959,48959,8385,5ef52dbefde16bcfd8ed0327c687806404679758e879b4158bcf362e50f57b5b,0,0,False,False
contos/macn053.txt,contos,"Conto, Antes que cases, 1875",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,45192,45192,7906,5bb977602b0426b8c9347e3ac840af405df2b46c8617bb0bb8dd2282c65349a3,0,0,False,False
contos/macn054.txt,contos,"Conto, Brincar com fogo, 1875",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,21014,21014,3662,531cad34d90c4fff81967ad3e4115c5f2dfc05dfe497b7ef315aaf0cf6b36ede,0,0,False,False
contos/macn055.txt,contos,"Conto, A Mágoa do infeliz Cosme, 1875",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,22675,22675,4005,1086df75c8b49a991feb1d00e05579fbbec4054b2053342fb4bd001149c6d078,0,0,False,False
contos/macn056.txt,contos,"Conto, Onze anos depois, 1875",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,31210,31210,5463,41d858a1eed2dcbdd69df268fae827946c4e91bdcb0317abb9c356e6f9292872,0,0,False,False
contos/macn057.txt,contos,"Conto, A última receita, 1875",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,11554,11554,1998,cfa18c42169d201db8aca1706c807311316ab335d12f6bb0b62947f1296cf80a,0,0,False,True
contos/macn058.txt,contos,"Conto, Um esqueleto, 1875",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,30557,30557,5360,fd04af961b29afd083e5e412de8f09f6b69190584979e04b7afc0f43292dd35a,0,0,False,True
contos/macn059.txt,contos,"Conto, O sainete, 1875",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,16793,16793,2887,647c804f3b66f822721639e5bd6cfd3992f19c8c19324958b4aa2a5068ae42a8,0,0,False,True
contos/macn060.txt,contos,"Conto, Casa, não casa, 1875",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,25731,25731,4608,100335953cbae0353093695b3bce8d06f48ca5bb95d73ed82ce0ce6bfbf268a6,0,0,False,True
contos/macn061.txt,contos,"Conto, Longe dos Olhos, 1876",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,28721,28721,5004,a00325cd424ee3c8fab3ac3e83ae45712239b32ea7ccd42fa016b4c50855496c,0,0,False,False
contos/macn062.txt,contos,"Conto, O Astrólogo, 1876",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,19100,19100,3348,6340a859c131f026a0f32ae818c3f42ca6400f2db1cef4166f1ff6821b3b57d5,0,0,False,False
contos/macn063.txt,contos,"Conto, D. Mônica, 1876",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,45635,45635,7969,c5256be4968f4ea743e2a421d48ae7e3f2dab6b2042045d1368ff6f83127199b,0,0,False,False
contos/macn064.txt,contos,"Conto, Encher tempo, 1876",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,64080,64080,11380,03f8bce19df5bfe62978dc7ba4af400615c7bc93c4919454f58c6ba196dc0a3c,0,0,False,False
contos/macn065.txt,contos,"Conto, O Passado, o passado, 1876",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,19974,19974,3416,e2c5c531153127da4bac78348f8681acfe516252c63d7bb7d10db2ad501c7e4a,0,0,False,False
contos/macn066.txt,contos,"Conto, Sem olhos, 1876",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,36401,36401,6390,b9e52424160021d01a35ad99fdcab958a33979168fcdf68094fc93908582774c,0,0,False,False
contos/macn067.txt,contos,"Conto, To be or not to be, 1876",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,29607,29607,5213,997ba415b37022f48b1301d5083383b65c6335d043b88b5c0db8d84debca5ede,0,0,False,False
contos/macn068.txt,contos,"Conto, História de uma fita azul, 1876",False,conto_avulso,True,incluído como texto avulso sem sobreposição alta,30218,30218,5401,9fee3cb09ee84b8010768e243973677b83f43de44d273b32f8b734a5aa759755,0,0,False,True
